date,maxTempM,meanTempM,minTempM,maxDewPtM,meanDewPtM,minDewPtM,maxHumidity,minHumidity,maxPressureM,meanPressureM_1,minPressureM,precipM
31/01/2020,21,13.7,5,14,7.2,1,92,58,29.9,29.8,29.8,0
01/02/2020,27,17.4,10,23,14.6,9,93,80,29.7,29.6,29.3,0
02/02/2020,28,22.4,18,25,20.8,16,100,86,29.3,29.1,29,0
03/02/2020,37,29,23,32,25.4,21,100,65,29.5,29.3,29.1,0
04/02/2020,36,29.2,21,27,23,19,93,64,29.5,29.4,29.4,0
05/02/2020,28,17.5,12,21,5.5,0,74,49,29.8,29.7,29.5,0
06/02/2020,23,17.9,14,19,13.2,5,93,62,29.6,29.3,29.1,0
07/02/2020,23,19.1,7,19,14.8,-2,93,67,29.3,29,28.8,0
08/02/2020,7,0.4,-4,-2,-9.2,-11,78,52,30,29.7,29.3,0
09/02/2020,14,2.4,-15,9,-3.7,-20,85,57,30.1,30,29.8,0
10/02/2020,30,20.4,12,25,17.6,9,93,75,29.8,29.6,29.5,0
11/02/2020,30,22.6,10,25,18.5,9,100,69,29.7,29.6,29.4,0
12/02/2020,36,29,21,23,19.8,16,80,52,29.7,29.6,29.4,0
13/02/2020,30,20,3,27,15.2,-8,100,61,29.6,29.4,29.3,0
14/02/2020,3,-4.4,-13,-9,-15.4,-18,77,43,30.1,30,29.7,0
15/02/2020,25,12.7,-2,12,4.1,-11,85,50,30.1,29.9,29.6,0
16/02/2020,37,32,27,27,21.1,12,80,52,29.6,29.5,29.5,0
17/02/2020,27,17.2,10,16,3.3,-4,74,38,30,29.9,29.6,0
18/02/2020,39,20.1,7,36,13.4,-4,100,57,30,29.6,29.3,0
19/02/2020,34,22.3,10,23,10.2,-2,86,49,30,29.7,29.5,0
20/02/2020,10,7.7,3,1,-3,-8,79,48,30.1,30,30,0
21/02/2020,30,14.4,-2,16,3.4,-9,72,40,30.1,29.9,29.7,0
22/02/2020,37,29.7,25,23,18.3,14,74,52,29.7,29.6,29.6,0
23/02/2020,43,33.2,23,28,24.5,21,100,52,29.6,29.6,29.5,0
24/02/2020,46,38.4,32,32,26.1,19,81,48,29.5,29.5,29.4,0
25/02/2020,39,36.3,34,32,25.3,23,87,56,29.6,29.6,29.5,0
26/02/2020,34,29.7,28,30,23.6,18,93,60,29.7,29.5,29.3,0
27/02/2020,34,27.1,16,32,25.1,9,100,73,29.3,28.9,28.8,0
28/02/2020,18,13.5,10,10,6.8,3,85,67,29.3,29.2,29,0
29/02/2020,14,7.8,1,7,1.6,-2,85,62,29.6,29.4,29.3,0
01/03/2020,23,14.2,1,10,5.1,-2,85,46,29.7,29.7,29.6,0
02/03/2020,39,27.9,19,37,24.6,10,100,63,29.6,29.3,29.2,0
03/03/2020,37,33.4,27,36,29.9,25,100,65,29.3,29.1,28.8,0
04/03/2020,39,35.1,32,32,29.1,25,100,56,29.4,29.1,28.9,0
05/03/2020,36,32.5,27,28,26.5,23,86,70,29.7,29.6,29.4,0
06/03/2020,32,30,25,28,26,12,93,59,29.8,29.7,29.6,0
07/03/2020,28,22.5,10,16,7,-4,79,25,30,29.9,29.8,0
08/03/2020,43,35.8,28,28,22.5,14,80,49,29.9,29.8,29.7,0
09/03/2020,54,45.7,39,39,30.5,27,87,38,29.7,29.7,29.6,0
10/03/2020,45,39.2,28,43,37.7,21,100,74,29.7,29.5,29.3,0
11/03/2020,28,25,19,18,13.5,9,80,47,29.9,29.8,29.7,0
12/03/2020,36,30.1,27,23,19.6,16,69,60,29.7,29.7,29.5,0
13/03/2020,45,38.5,32,43,30.8,23,100,53,29.5,29.3,29,0
14/03/2020,39,35.6,32,25,20.1,9,65,38,30,29.8,29.5,0
15/03/2020,30,23.9,16,9,5.8,1,68,31,30.3,30.2,30.1,0
16/03/2020,30,22.7,14,16,9,1,64,43,30.3,30.1,29.8,0
17/03/2020,43,33.9,25,34,27.1,16,100,52,29.8,29.6,29.5,0
18/03/2020,37,32.1,27,23,18.6,12,75,44,30.1,30,29.8,0
19/03/2020,39,34.9,30,30,23.7,18,75,55,29.9,29.8,29.6,0
20/03/2020,57,42.1,28,55,39,19,100,69,29.7,29.3,29,0
21/03/2020,27,20.3,12,16,5.1,1,64,43,30.2,30.1,29.7,0
22/03/2020,30,23.3,14,10,7,3,73,37,30.4,30.3,30.2,0
23/03/2020,32,27.4,23,30,22.2,9,100,54,30.1,29.9,29.7,0
24/03/2020,39,32.4,28,32,29.4,28,100,75,29.8,29.8,29.7,0
25/03/2020,41,34.3,25,34,29.7,25,100,61,29.8,29.7,29.6,0
26/03/2020,52,40.7,36,45,37.4,32,93,67,29.6,29.4,29.3,0
27/03/2020,46,36.4,30,32,25.4,16,93,31,29.7,29.5,29.4,0
28/03/2020,45,35,23,25,22.1,18,86,43,29.7,29.7,29.6,0
29/03/2020,41,39.2,37,41,33.9,23,100,52,29.7,29.4,29.2,0
30/03/2020,48,42.8,36,45,41.1,36,100,82,29.6,29.4,29.3,0
31/03/2020,46,36.6,32,34,26.2,16,100,31,29.7,29.7,29.6,0
01/04/2020,45,37,28,27,23.3,19,74,43,29.6,29.6,29.5,0
02/04/2020,50,41.5,30,36,28,25,81,40,29.5,29.5,29.4,0
03/04/2020,50,44.5,39,45,39.9,34,93,62,29.6,29.5,29.4,0
04/04/2020,57,47.5,37,39,35,30,81,48,29.7,29.6,29.6,0
05/04/2020,50,45.4,36,45,40.1,27,93,62,29.7,29.6,29.6,0
06/04/2020,57,42.9,28,27,21.6,16,80,21,29.7,29.6,29.5,0
07/04/2020,55,44.3,32,23,19,16,64,22,29.5,29.4,29.3,0
08/04/2020,46,40,34,27,21.3,16,60,36,29.3,29.2,29.2,0
09/04/2020,43,38.6,34,39,33.4,27,100,53,29.1,28.9,28.8,0
10/04/2020,41,35.9,32,34,29.8,21,100,56,29.3,28.9,28.8,0
11/04/2020,46,36.4,28,21,18.4,14,74,27,29.5,29.4,29.3,0
12/04/2020,54,43,28,34,27.7,18,87,41,29.6,29.6,29.5,0
13/04/2020,59,50.4,39,59,45.5,27,100,54,29.5,29.1,28.8,0
14/04/2020,43,37.9,34,30,19.9,10,87,27,29.6,29.5,29.3,0
15/04/2020,39,32.3,27,30,23.1,9,93,30,29.5,29.5,29.4,0
16/04/2020,39,32.1,23,25,17.7,7,86,26,29.6,29.6,29.5,0
17/04/2020,43,34.8,27,25,17,10,80,27,29.7,29.6,29.5,0
18/04/2020,52,38.9,27,27,19.7,14,80,24,29.5,29.4,29.3,0
19/04/2020,45,40.4,34,41,34.6,27,93,65,29.3,29.2,29.1,0
20/04/2020,43,32.4,23,23,14.8,9,80,28,29.5,29.4,29.2,0
21/04/2020,45,34.3,27,37,24,16,93,34,29.2,29,28.8,0
22/04/2020,37,28.3,21,16,10.7,3,80,26,29.5,29.3,29.2,0
23/04/2020,45,32.9,21,9,3.8,0,54,17,29.6,29.6,29.5,0
24/04/2020,48,37.8,27,23,11.2,5,60,18,29.6,29.5,29.5,0
25/04/2020,59,45,27,23,15.1,7,74,15,29.7,29.6,29.5,0
26/04/2020,55,47.8,39,21,17.8,14,45,21,29.7,29.7,29.6,0
27/04/2020,55,47.3,41,27,20,16,57,25,29.7,29.7,29.6,0
28/04/2020,59,45.9,30,28,23.2,18,80,21,29.8,29.7,29.7,0
29/04/2020,61,50.6,36,37,28.5,18,56,29,29.8,29.7,29.6,0
30/04/2020,55,52.3,50,52,45.9,37,100,54,29.6,29.4,29.3,0
01/05/2020,57,51.5,45,54,46.2,32,20,2,29.5,29.3,29.2,0
02/05/2020,68,52.7,37,46,39.1,32,22,0,29.6,29.5,29.4,0
03/05/2020,72,57,46,50,42.8,28,23,3,29.3,29.2,29.1,0
04/05/2020,50,44.2,36,39,30.5,19,23,8,29.6,29.4,29.3,0
05/05/2020,52,40.4,28,27,21.9,18,20,5,29.6,29.6,29.5,0
06/05/2020,59,47.1,36,27,20.9,14,13,2,29.6,29.5,29.4,0
07/05/2020,57,46.6,37,30,23.9,18,23,0,29.4,29.3,29.2,0
08/05/2020,43,35.5,32,27,19.8,16,16,2,29.4,29.3,29.3,0
09/05/2020,41,35,27,21,16.5,12,31,12,29.5,29.4,29.3,0
10/05/2020,54,42.4,32,28,23.6,18,21,5,29.5,29.4,29.4,0
11/05/2020,50,41.5,34,27,24.1,18,14,5,29.5,29.5,29.4,0
12/05/2020,46,38.7,27,19,14.1,7,18,3,29.7,29.6,29.5,0
13/05/2020,57,44.6,28,27,18.5,14,15,3,29.9,29.8,29.7,0
14/05/2020,64,51.6,34,28,24.5,19,12,0,29.9,29.7,29.5,0
15/05/2020,55,52.1,48,52,45.6,27,14,0,29.5,29.4,29.4,0
16/05/2020,63,55.6,50,52,44.7,41,16,3,29.8,29.7,29.5,0
17/05/2020,66,57.6,46,43,40.5,36,14,2,29.9,29.8,29.8,0
18/05/2020,70,59.6,52,45,30.5,21,16,3,29.9,29.8,29.8,0
19/05/2020,68,57.5,46,37,31,19,18,9,29.9,29.9,29.9,0
20/05/2020,75,61.1,43,39,34.7,30,9,2,30,30,29.9,0
21/05/2020,77,63.5,50,39,30.5,18,15,0,29.9,29.8,29.7,0
22/05/2020,82,67.6,48,45,36.5,25,10,5,29.7,29.6,29.5,0
23/05/2020,75,66.6,57,46,33.8,25,18,2,29.7,29.7,29.6,0
24/05/2020,82,65.8,48,57,44.5,28,13,3,29.8,29.7,29.6,0
25/05/2020,73,66.4,63,64,58,48,16,3,29.7,29.6,29.6,0
26/05/2020,91,75.5,57,68,62.9,57,13,3,29.7,29.7,29.6,0
27/05/2020,95,80.9,66,68,63.4,61,16,2,29.7,29.6,29.6,0
28/05/2020,81,74,66,70,65,61,15,5,29.6,29.5,29.4,0
29/05/2020,81,71.3,64,66,64,61,20,5,29.4,29.3,29.2,0
30/05/2020,68,56.2,46,63,50.3,39,24,6,29.6,29.4,29.3,0
31/05/2020,55,47.1,39,39,34.5,25,20,0,29.8,29.7,29.6,0
